"hour","rides","hour_tw","ampm","hour12"
"0","247076","12","AM","12 AM"
"1","192008","1","AM","1 AM"
"2","147402","2","AM","2 AM"
"3","112595","3","AM","3 AM"
"4","87146","4","AM","4 AM"
"5","91697","5","AM","5 AM"
"6","159737","6","AM","6 AM"
"7","340740","7","AM","7 AM"
"8","533624","8","AM","8 AM"
"9","572724","9","AM","9 AM"
"10","548393","10","AM","10 AM"
"11","622767","11","AM","11 AM"
"12","678618","12","PM","12 PM"
"13","687688","1","PM","1 PM"
"14","675634","2","PM","2 PM"
"15","705022","3","PM","3 PM"
"16","779237","4","PM","4 PM"
"17","848510","5","PM","5 PM"
"18","817358","6","PM","6 PM"
"19","709997","7","PM","7 PM"
"20","575188","8","PM","8 PM"
"21","499398","9","PM","9 PM"
"22","434486","10","PM","10 PM"
"23","330961","11","PM","11 PM"
